date,Y_Target_Spread
2024-01-31,-0.5453715323160351
2024-02-01,-0.0749222708513235
2024-02-02,-0.47263190585684
2024-02-03,-0.4883337910466121
2024-02-04,-0.5770955440799455
2024-02-05,-0.5555607786534944
2024-02-06,-0.5317675083099029
2024-02-07,1.3873099396576558
2024-02-08,1.703175139203597
2024-02-09,4.338620243810355
2024-02-10,4.427169043925056
2024-02-11,4.399974654412701
2024-02-12,4.198760868433568
2024-02-13,4.065981785066181
2024-02-14,1.1147522784711024
2024-02-15,2.8960529167933737
2024-02-16,2.348991577207671
2024-02-17,0.999416694913278
2024-02-18,5.786192715166217
2024-02-19,2.0342142470764646
2024-02-20,1.2150161409599676
2024-02-21,1.7424213630725518
2024-02-22,4.11102472042909
2024-02-23,1.170499927997791
2024-02-24,2.247216906013965
2024-02-25,3.851847569420655
2024-02-26,4.707358658616285
2024-02-27,2.977146492592854
2024-02-28,13.6653508428938
2024-02-29,6.19811690132282
2024-03-01,0.7824511975883706
2024-03-02,7.49281830359874
2024-03-03,7.457382165532846
2024-03-04,5.375878367744977
2024-03-05,2.231218240345245
2024-03-06,6.842399884579183
2024-03-07,3.820400561336649
2024-03-08,-0.5548392173956866
2024-03-09,2.63330727548304
2024-03-10,7.535016915039937
2024-03-11,8.316732400606632
2024-03-12,13.41771472559089
2024-03-13,7.809047631815463
2024-03-14,12.98179548958608
2024-03-15,0.4749465900125464
2024-03-16,1.6909066082344522
2024-03-17,10.432467686675658
2024-03-18,5.106768288744326
2024-03-19,1.310528601539314
2024-03-20,-0.5219983827963777
2024-03-21,2.0540729583654374
2024-03-22,-0.2553031799024232
2024-03-23,3.6840139395435134
2024-03-24,3.0658058768561416
2024-03-25,9.600954889854783
2024-03-26,4.834956788942078
2024-03-27,7.489744055768446
2024-03-28,2.216230357684638
2024-03-29,7.5986532263563955
2024-03-30,13.161572259377198
2024-03-31,-0.644744784934371
2024-04-01,4.045979377786637
2024-04-02,0.0610755786506045
2024-04-03,1.1411283554191431
2024-04-04,4.293347331081209
2024-04-05,3.2139101440386373
2024-04-06,3.364173043629292
2024-04-07,-0.469259276601262
2024-04-08,3.402088046747937
2024-04-09,5.006630577232484
2024-04-10,4.329330595467041
2024-04-11,4.059278935077766
2024-04-12,3.860328794035744
2024-04-13,3.3843936739154232
2024-04-14,2.5156733600930945
2024-04-15,2.196159526264952
2024-04-16,2.5929678202893447
2024-04-17,2.1829647919220108
2024-04-18,2.14803493196004
2024-04-19,1.6497113926040263
2024-04-20,1.486423305158624
2024-04-21,1.458787804411318
2024-04-22,1.4511121529645532
2024-04-23,1.461623007733424
2024-04-24,1.5004996478987822
2024-04-25,1.6054975812118872
2024-04-26,1.2617449360928052
2024-04-27,2.0782637649397486
2024-04-28,2.1580687111698307
2024-04-29,1.867628090549064
2024-04-30,1.7767126768946069
2024-05-01,1.632684569271321
2024-05-02,1.409881441911197
2024-05-03,1.1785439987671138
2024-05-04,1.1126211395127648
2024-05-05,1.1691107257533382
2024-05-06,0.125086051383243
2024-05-07,0.0529017841545549
2024-05-08,0.2238791220071627
2024-05-09,0.4162865344779183
2024-05-10,0.1061892553932679
2024-05-11,0.2075500136826296
2024-05-12,0.182426396082274
2024-05-13,0.6486155293684845
2024-05-14,0.5718355039199094
2024-05-15,0.344630217650228
2024-05-16,0.3153767557801954
2024-05-17,0.0369026254123943
2024-05-18,0.0270021327071328
2024-05-19,0.1344607051808592
2024-05-20,0.6806760306224362
2024-05-21,1.105545464749409
2024-05-22,1.1525496488354303
2024-05-23,11.313826496811114
2024-05-24,1.8178900769987385
2024-05-25,1.7710132460452623
2024-05-26,1.488681378673875
2024-05-27,1.8329313348462648
2024-05-28,1.790826913544814
2024-05-29,1.58989414654443
2024-05-30,10.84426106652869
2024-05-31,1.737678865393666
2024-06-01,1.7130340561460944
2024-06-02,1.4539387178698489
2024-06-03,1.756827692740253
2024-06-04,1.5492166258960491
2024-06-05,1.9127515392568908
2024-06-06,6.496389303668911
2024-06-07,6.132630556416675
2024-06-08,2.0711983009116866
2024-06-09,1.9841453711549288
2024-06-10,2.122472023028912
2024-06-11,2.0473330900505493
2024-06-12,1.957444139649935
2024-06-13,6.382425096748379
2024-06-14,2.0593259847228795
2024-06-15,1.9382884802011369
2024-06-16,1.969204816712284
2024-06-17,1.8278344330510183
2024-06-18,1.399143047907737
2024-06-19,1.523566366648577
2024-06-20,1.8779597083041804
2024-06-21,1.835126382473497
2024-06-22,1.65858221193775
2024-06-23,2.119772723329527
2024-06-24,2.0200309825599527
2024-06-25,1.9115699990292887
2024-06-26,1.6714948350367749
2024-06-27,1.2135495578017883
2024-06-28,1.2736699922934136
2024-06-29,1.2438144389452497
2024-06-30,1.512099034649892
2024-07-01,1.4483288204132867
2024-07-02,1.581952947414921
2024-07-03,1.4035124893991116
2024-07-04,1.2049505922924553
2024-07-05,0.1582639374454455
2024-07-06,1.0132374747329915
2024-07-07,0.86418199556765
2024-07-08,-0.0088647998007198
2024-07-09,-0.2049878872179489
2024-07-10,-0.2424692976716
2024-07-11,-0.2005701113567326
2024-07-12,-0.0944860460479137
2024-07-13,0.2080132851412335
2024-07-14,0.2867476954651407
2024-07-15,0.518929298091189
2024-07-16,0.379446768440026
2024-07-17,0.3602229161396781
2024-07-18,0.5460069195595629
2024-07-19,0.6038001090226199
2024-07-20,1.2367917471677758
2024-07-21,1.194337870897237
2024-07-22,1.1113431192173842
