date,Lido_APY,Lido_TVL
2023-05-02,5.0,11687973403.0
2023-05-03,5.2,11969580364.0
2023-05-04,5.3,11794145002.0
2023-05-05,5.4,12532452557.0
2023-05-06,5.9,11998718795.0
2023-05-07,6.2,12201079873.0
2023-05-08,6.6,11769283018.0
2023-05-09,6.7,11825891141.0
2023-05-10,6.7,11953720722.0
2023-05-11,6.8,11656973663.0
2023-05-12,7.0,11926857913.0
2023-05-13,6.7,11947345907.0
2023-05-14,6.4,11960230620.0
2023-05-15,6.0,12186064417.0
2023-05-16,5.9,12271773774.0
2023-05-17,5.7,11509657914.0
2023-05-18,5.4,11512913999.0
2023-05-19,5.2,11622635652.0
2023-05-20,5.1,11683964977.0
2023-05-21,5.0,11707397228.0
2023-05-22,5.0,11884917368.0
2023-05-23,5.0,12299306752.0
2023-05-24,4.9,12012717117.0
2023-05-25,4.9,12094563155.0
2023-05-26,4.9,12354788390.0
2023-05-27,4.8,12394229250.0
2023-05-28,4.8,12906011156.0
2023-05-29,4.9,12910780073.0
2023-05-30,4.8,13128762485.0
2023-05-31,4.8,12955174289.0
2023-06-01,4.7,13071758573.0
2023-06-02,4.7,13406397464.0
2023-06-03,4.5,13329420114.0
2023-06-04,4.4,13436235271.0
2023-06-05,4.3,12777545228.0
2023-06-06,4.3,13330807337.0
2023-06-07,4.2,13116024434.0
2023-06-08,4.1,13244774774.0
2023-06-09,4.0,13143672743.0
2023-06-10,4.1,12479075978.0
2023-06-11,4.1,12650513614.0
2023-06-12,4.0,12478581646.0
2023-06-13,4.0,12498252783.0
2023-06-14,3.9,11866758375.0
2023-06-15,3.9,12010401879.0
2023-06-16,3.9,12418632612.0
2023-06-17,3.9,12505620867.0
2023-06-18,3.8,12493032406.0
2023-06-19,3.8,12621688752.0
2023-06-20,3.8,12984451451.0
2023-06-21,3.8,13752738422.0
2023-06-22,3.8,13834205696.0
2023-06-23,3.8,14065085143.0
2023-06-24,3.8,13825125038.0
2023-06-25,3.8,14016611414.0
2023-06-26,3.8,13746433412.0
2023-06-27,3.8,14054944171.0
2023-06-28,3.8,13631640138.0
2023-06-29,3.8,13797869759.0
2023-06-30,3.8,14446229235.0
2023-07-01,3.9,14437758759.0
2023-07-02,3.9,14480416884.0
2023-07-03,4.0,14759097741.0
2023-07-04,4.0,14634764718.0
2023-07-05,4.0,14432378897.0
2023-07-06,4.0,14198927725.0
2023-07-07,4.0,14216155100.0
2023-07-08,3.9,14121987232.0
2023-07-09,3.8,14203080552.0
2023-07-10,3.9,14243286678.0
2023-07-11,3.9,14305730228.0
2023-07-12,3.9,14340151412.0
2023-07-13,3.9,15192588065.0
2023-07-14,3.9,14830794114.0
2023-07-15,3.8,14925024548.0
2023-07-16,3.8,14965006791.0
2023-07-17,3.9,14839930668.0
2023-07-18,3.8,14712713056.0
2023-07-19,3.9,14660569996.0
2023-07-20,3.9,14710232209.0
