date,timestamp,X_USDC_Depeg_Risk,balance_usdc_normalized,balance_dai_normalized,balance_usdt_normalized,balance_total_normalized,raw_balance_usdc,raw_balance_dai,raw_balance_usdt
2023-06-04 23:50:35,1685922635,0.38886358068935348974320733739343979100502942043316,153922373.921505,150688594.046141963067942323,91215181.780398,395826149.748044963067942323,153922373921505,150688594046141963067942323,91215181780398
2023-06-05 23:57:59,1686009479,0.39744640723878544630322188277487116677705868838265,158242063.164000,148208697.293991715041252038,91696160.188163,398146920.646154715041252038,158242063164000,148208697293991715041252038,91696160188163
2023-06-06 23:58:59,1686095939,0.31255529138314894063875405886687074189026232989411,124765515.391474,144910699.956742840980483746,129502806.191780,399179021.539996840980483746,124765515391474,144910699956742840980483746,129502806191780
2023-06-07 23:59:23,1686182363,0.36863227001635375019252197410640706134509644775594,149989517.502665,139445716.163723118387418998,117445904.265489,406881137.931877118387418998,149989517502665,139445716163723118387418998,117445904265489
2023-06-08 23:45:47,1686267947,0.30770122392258946763187966788706109559617184167274,120440396.889227,131976041.353229463855011541,139003509.178770,391419947.421226463855011541,120440396889227,131976041353229463855011541,139003509178770
2023-06-09 23:59:23,1686355163,0.34266478850712198471279492172919471968896816971389,134955369.546467,127883638.266268992295985120,131001777.913814,393840785.726549992295985120,134955369546467,127883638266268992295985120,131001777913814
2023-06-10 23:55:23,1686441323,0.40079695483251048982734257476730190136154215244179,144759190.049455,137191569.684559580575449458,79227608.275165,361178368.009179580575449458,144759190049455,137191569684559580575449458,79227608275165
2023-06-11 23:56:11,1686527771,0.39506417192365719067326652171963195044716186362967,142211995.483265,138696445.940700464223333052,79063445.651500,359971887.075465464223333052,142211995483265,138696445940700464223333052,79063445651500
2023-06-12 23:50:35,1686613835,0.36165829853089190302829016895543870984881786231207,127733882.291619,128871064.043377860778337890,96584467.015927,353189413.350923860778337890,127733882291619,128871064043377860778337890,96584467015927
2023-06-13 23:52:23,1686700343,0.29408035149553047043525449376860739585816148618945,105150699.615833,111522138.566317653177907559,140884880.587888,357557718.770038653177907559,105150699615833,111522138566317653177907559,140884880587888
2023-06-14 23:55:47,1686786947,0.27325494415020173973804184250088447986749079479000,104610277.053312,101900538.605689834036051030,176319501.935582,382830317.594583834036051030,104610277053312,101900538605689834036051030,176319501935582
2023-06-15 23:52:23,1686873143,0.19135719158427348035551510193799094750719673057589,71494656.193297,71988430.153668961448271019,230135775.851954,373618862.198919961448271019,71494656193297,71988430153668961448271019,230135775851954
2023-06-16 23:59:23,1686959963,0.20176688892623747224267581333550232123591049631038,75760983.730865,73434777.283398030221233931,226291932.402876,375487693.417139030221233931,75760983730865,73434777283398030221233931,226291932402876
2023-06-17 23:51:11,1687045871,0.23260730821678559635417434455631989967032326699971,84793135.470208,83665345.941111705970255745,196074929.513080,364533410.924399705970255745,84793135470208,83665345941111705970255745,196074929513080
2023-06-18 23:37:23,1687131443,0.26142377482756237110832719646832104693087354589907,94805137.135579,91749270.738038463755732062,176094846.954538,362649254.828155463755732062,94805137135579,91749270738038463755732062,176094846954538
2023-06-19 23:54:59,1687218899,0.24484940802626181061306714211327856259488661602342,88253057.235034,88509313.955581620660886927,183675736.242212,360438107.432827620660886927,88253057235034,88509313955581620660886927,183675736242212
2023-06-20 23:53:23,1687305203,0.33742024720811580926058268589309664769959522539691,115440778.598815,107229277.826041704402811592,119457541.293406,342127597.718262704402811592,115440778598815,107229277826041704402811592,119457541293406
2023-06-21 23:58:59,1687391939,0.34904830814699858120038035270105183866500294572053,117294646.212577,105148019.282243435825667079,113598631.583117,336041297.077937435825667079,117294646212577,105148019282243435825667079,113598631583117
2023-06-22 23:58:47,1687478327,0.37805475741002294223697778569218622888032238602751,126216476.728097,116868678.664556009180460787,90772504.785414,333857660.178067009180460787,126216476728097,116868678664556009180460787,90772504785414
2023-06-23 23:57:35,1687564655,0.40199365209187996182798797016930496254984620515531,135132070.140450,127352372.106547756352020443,73670294.120740,336154736.367737756352020443,135132070140450,127352372106547756352020443,73670294120740
2023-06-24 23:46:23,1687650383,0.40673664117606210698445737499642252106652378284334,134472652.891037,130522480.031348704109175695,65618436.836697,330613569.759082704109175695,134472652891037,130522480031348704109175695,65618436836697
2023-06-25 23:13:35,1687734815,0.39450782248704103984438569013140052548556921346253,130805204.757708,130141532.576398157305158734,70618816.760844,331565554.094950157305158734,130805204757708,130141532576398157305158734,70618816760844
2023-06-26 23:35:59,1687822559,0.36954877986317888817436164581025663365608276566593,121928008.290871,117255268.149914768235460575,90754244.489505,329937520.930290768235460575,121928008290871,117255268149914768235460575,90754244489505
2023-06-27 23:58:47,1687910327,0.37068302393827301269920183631135712979320577745828,120150498.336825,116262471.922750085509406913,87719753.867637,324132724.127212085509406913,120150498336825,116262471922750085509406913,87719753867637
2023-06-28 23:44:35,1687995875,0.33927834378833438593532465183807646172119851164630,110758652.338744,108781392.450868807428673999,106913601.210979,326453646.000591807428673999,110758652338744,108781392450868807428673999,106913601210979
2023-06-29 23:57:59,1688083079,0.32227336412314484926614086767545198155192955482514,103774989.012153,98339951.938187408943126653,119894261.685777,322009202.636117408943126653,103774989012153,98339951938187408943126653,119894261685777
2023-06-30 23:57:11,1688169431,0.29069472642092072206672752109360592497498052788790,92234889.065568,85707813.088165920313149432,139348533.917792,317291236.071525920313149432,92234889065568,85707813088165920313149432,139348533917792
2023-07-01 23:55:11,1688255711,0.28703868400656902546571230681741629738790058008538,90354647.602374,88219405.323273726625610417,136208074.490691,314782127.416338726625610417,90354647602374,88219405323273726625610417,136208074490691
2023-07-02 23:45:11,1688341511,0.31336799119190700654918863800950859071499483798232,98068334.035726,94233668.118690373447238060,120647427.245566,312949429.399982373447238060,98068334035726,94233668118690373447238060,120647427245566
2023-07-03 23:54:59,1688428499,0.39263899201214672002620224603137578774611639199179,122590740.583167,99426522.780277681502284514,90205269.490283,312222532.853727681502284514,122590740583167,99426522780277681502284514,90205269490283
2023-07-04 23:49:23,1688514563,0.34622182564253880371989865402636260337547463569796,107820233.366603,112646861.276705237855592057,90952421.346199,311419515.989507237855592057,107820233366603,112646861276705237855592057,90952421346199
2023-07-05 23:52:59,1688601179,0.38527947329851423423426882421076677395534072150206,120215063.007748,108777142.307386475651826617,83028214.507765,312020419.822899475651826617,120215063007748,108777142307386475651826617,83028214507765
2023-07-06 23:56:35,1688687795,0.33395217794334161614202746029303884262761514951066,103243474.636830,105364651.584434506574513271,100548338.254156,309156464.475420506574513271,103243474636830,105364651584434506574513271,100548338254156
2023-07-07 23:55:59,1688774159,0.35746650474402268557804244776687455926734563082085,110070281.400147,104269576.380327955282312135,93577890.985852,307917748.766326955282312135,110070281400147,104269576380327955282312135,93577890985852
2023-07-08 23:44:11,1688859851,0.35595553252528738860857033692066389060143896230766,109621633.432063,103625212.673866921794539929,94717557.914888,307964404.020817921794539929,109621633432063,103625212673866921794539929,94717557914888
